tipo,nombre,nombre_arabe,ciudad,provincia,epoca,nivel,gancho_comercial,imagen_url_actual,estado_imagen,cloudinary_public_id,wikimedia_buscar,notas
ENCLAVE,Córdoba,Qurtuba (قرطبة),Córdoba,Córdoba,"Emirato, Califato, Taifa, Almorávide, Almohade",1,Capital del Califato y centro del mundo en el siglo X. Aquí late el corazón de Al-Ándalus.,,PENDIENTE,vive-al-andalus/atlas/córdoba,Córdoba,
ENCLAVE,Medina Azahara,Madinat al-Zahra (مدينة الزهراء),Medina Azahara,Córdoba,Califato,1,La ciudad-palacio que Abderramán III levantó en 936 para deslumbrar al mundo; brilló 70 años y hoy es Patrimonio Mundial,,PENDIENTE,vive-al-andalus/atlas/medina_azahara,Medina Azahara,
ENCLAVE,Mérida,Marida (ماردة),Mérida,Badajoz,"Emirato, Califato",1,Foco de rebeliones contra Córdoba. Su Alcazaba es la fortaleza islámica más antigua de Iberia (835).,,PENDIENTE,vive-al-andalus/atlas/mérida,Mérida,
ENCLAVE,Ronda,Runda (رندة),Ronda,Málaga,"Emirato, Taifa, Almorávide, Almohade, Nazarí",1,Capital de taifa colgada sobre el Tajo. Su medina conserva el alma andalusí intacta.,,PENDIENTE,vive-al-andalus/atlas/ronda,Ronda,
ENCLAVE,Madrid,Maŷrīṭ (مجريط),Madrid,Madrid,"Emirato, Califato",2,"La única capital europea de origen andalusí: Mayrit, fortaleza fundada por el emir Muhammad I en el siglo IX para vigila",,PENDIENTE,vive-al-andalus/atlas/madrid,Madrid,
ENCLAVE,Cieza (Siyâsa),Madinat Siyasa (مدينة سياسة),Cieza (Siyâsa),Murcia,"Almorávide, Almohade",3,"El despoblado andalusí de Siyâsa: una ciudad islámica excavada con casas de yeserías intactas, ventana única a la vida c",,PENDIENTE,vive-al-andalus/atlas/cieza_(siyâsa),Cieza Siyâsa,
ENCLAVE,Granada,Garnata (غرناطة),Granada,Granada,"Taifa, Almorávide, Almohade, Nazarí",1,"Último reino andalusí. Donde se apagó Al-Ándalus en 1492, dejando la joya: la Alhambra.",,PENDIENTE,vive-al-andalus/atlas/granada,Granada,
ENCLAVE,Sevilla,Ishbiliya (إشبيلية),Sevilla,Sevilla,"Emirato, Taifa, Almorávide, Almohade",1,Capital almohade y puerta al Atlántico. La Giralda fue el alminar de su gran aljama.,,PENDIENTE,vive-al-andalus/atlas/sevilla,Sevilla,
ENCLAVE,Toledo,Tulaytula (طليطلة),Toledo,Toledo,"Emirato, Califato, Taifa",1,Ciudad de las tres culturas y capital de taifa. Aquí se tradujo el saber andalusí a Europa.,,PENDIENTE,vive-al-andalus/atlas/toledo,Toledo,
ENCLAVE,Zaragoza,Saraqusta (سرقسطة),Zaragoza,Zaragoza,"Emirato, Califato, Taifa",1,La 'Ciudad Blanca' de la Marca Superior. Su Aljafería es el mejor palacio andalusí del norte.,,PENDIENTE,vive-al-andalus/atlas/zaragoza,Zaragoza,
ENCLAVE,Almería,al-Mariyya (المرية),Almería,Almería,"Califato, Taifa, Almorávide, Almohade, Nazarí",1,"Gran puerto del Califato, 'espejo del mar'. Su Alcazaba es de las mayores de Al-Ándalus.",,PENDIENTE,vive-al-andalus/atlas/almería,Almería,
ENCLAVE,Málaga,Malaqa (مالقة),Málaga,Málaga,"Emirato, Califato, Taifa, Almorávide, Almohade, Nazarí",1,"Puerto nazarí próspero, cuna del poeta Ibn Gabirol. Alcazaba y Gibralfaro vigilan el mar.",,PENDIENTE,vive-al-andalus/atlas/málaga,Málaga,
ENCLAVE,Mértola,Mártula (مرتلة),Mértola,Beja / Alentejo (Portugal),"Taifa, Almorávide, Almohade",2,Su iglesia matriz fue una mezquita almohade y aún conserva el mihrab: una de las poquísimas mezquitas que sobreviven en ,,PENDIENTE,vive-al-andalus/atlas/mértola,Mértola,
ENCLAVE,Silves,Shilb (شلب),Silves,Faro / Algarve (Portugal),"Taifa, Almorávide, Almohade",2,Capital del al-Garb y cuna de poetas: su gran castillo de arenisca roja es uno de los mejores conjuntos almohades de Por,,PENDIENTE,vive-al-andalus/atlas/silves,Silves,
ENCLAVE,Gormaz,Qal'at Qurmaz (قلعة قرماز),Gormaz,Soria,Califato,2,"El mayor recinto fortificado del califato en Europa: casi un kilómetro de murallas y 28 torres sobre el Duero, con una p",,PENDIENTE,vive-al-andalus/atlas/gormaz,Gormaz,
ENCLAVE,Cáceres,Qazris (قازرش),Cáceres,Cáceres,"Califato, Taifa, Almohade",2,"Su casco amurallado, Patrimonio Mundial, conserva un cinturón de murallas y torres de origen almohade casi íntegro: una ",,PENDIENTE,vive-al-andalus/atlas/cáceres,Cáceres,
ENCLAVE,Niebla,Labla (لبلة),Niebla,Huelva,"Emirato, Taifa, Almohade",2,Taifa amurallada junto al río Tinto; su cinturón de murallas islámicas es de los más completos de Andalucía.,,PENDIENTE,vive-al-andalus/atlas/niebla,Niebla,
ENCLAVE,Murcia,Mursiya (مرسية),Murcia,Murcia,"Emirato, Taifa, Almorávide, Almohade",1,"Ciudad fundada por los musulmanes en 825, capital de Tudmir y de Ibn Mardanish, el 'Rey Lobo'.",,PENDIENTE,vive-al-andalus/atlas/murcia,Murcia,
ENCLAVE,Badajoz,Batalyaws (بطليوس),Badajoz,Badajoz,"Emirato, Taifa, Almorávide, Almohade",1,Capital de una gran taifa fundada por musulmanes. Su alcazaba domina el Guadiana.,,PENDIENTE,vive-al-andalus/atlas/badajoz,Badajoz,
ENCLAVE,Lisboa,al-Ushbuna (الأشبونة),Lisboa,Lisboa (Portugal),"Emirato, Califato, Taifa, Almorávide, Almohade",1,Puerto del al-Gharb andalusí hasta 1147. El barrio de Alfama conserva su trazado islámico.,,PENDIENTE,vive-al-andalus/atlas/lisboa,Lisboa,
ENCLAVE,Palma de Mallorca,Madina Mayurqa (مدينة ميورقة),Palma de Mallorca,Islas Baleares,"Califato, Taifa, Almorávide, Almohade",1,Capital de las Islas Orientales de Al-Ándalus hasta 1229. Su huella sigue bajo la ciudad.,,PENDIENTE,vive-al-andalus/atlas/palma_de_mallorca,Palma de Mallorca,
ENCLAVE,Játiva (Xàtiva),Shatiba (شاطبة),Játiva (Xàtiva),Valencia,"Califato, Taifa, Almohade",2,"Aquí funcionó la primera fábrica de papel de Europa, técnica que los andalusíes trajeron de Oriente; su doble castillo c",,PENDIENTE,vive-al-andalus/atlas/játiva_(xàtiva),Játiva Xàtiva,
ENCLAVE,Jaén,Yayyan (جيان),Jaén,Jaén,"Emirato, Califato, Taifa, Almohade, Nazarí",1,Llave del paso a Andalucía. Sus baños árabes son los mayores conservados de España.,,PENDIENTE,vive-al-andalus/atlas/jaén,Jaén,
ENCLAVE,Tarifa,Yazirat Tarif (جزيرة طريف),Tarifa,Cádiz,"Califato, Almohade, Nazarí",2,La ciudad más al sur de Europa lleva el nombre de Tarif ibn Malik; su castillo está datado por inscripción en el 960.,,PENDIENTE,vive-al-andalus/atlas/tarifa,Tarifa,
ENCLAVE,Algeciras,al-Yazira al-Jadra (الجزيرة الخضراء),Algeciras,Cádiz,"Emirato, Califato, Almohade, Nazarí",2,Aquí desembarcó el Islam en 711: 'la isla verde' fue la primera ciudad fundada por los musulmanes en la Península.,,PENDIENTE,vive-al-andalus/atlas/algeciras,Algeciras,
ENCLAVE,Carmona,Qarmuna (قرمونة),Carmona,Sevilla,"Emirato, Taifa, Almohade",2,Taifa bereber sobre la campiña; la Puerta de Sevilla es un alcázar andalusí que custodiaba el camino a Córdoba.,,PENDIENTE,vive-al-andalus/atlas/carmona,Carmona,
MONUMENTO,Mezquita-Catedral de Córdoba,,Córdoba,,"Emirato, Califato",,"La mayor mezquita del Occidente islámico: bosque de columnas y arcos bicromos rojo y blanco, con el mihrab califal recub",,PENDIENTE,vive-al-andalus/atlas/mon_mezquita-catedral_de_córdoba,Mezquita-Catedral de Córdoba,
MONUMENTO,Real Alcázar de Sevilla,,Sevilla,,Almohade,,Conjunto palaciego sobre el antiguo alcázar almohade. Conserva patios almohades originales; el resto es mudéjar y poster,,PENDIENTE,vive-al-andalus/atlas/mon_real_alcázar_de_sevilla,Real Alcázar de Sevilla,
MONUMENTO,Alcazaba de Almería,,Almería,,"Califato, Taifa",,"Enorme alcazaba en tres recintos sobre la ciudad y el mar, con murallas, aljibes, restos del palacio taifa y jardines. L",,PENDIENTE,vive-al-andalus/atlas/mon_alcazaba_de_almería,Alcazaba de Almería,
